Home Team,Home Team HT,Home Team FT,Away Team,Away Team HT,Away Team FT,date,time,Total HT Goals,Total FT Goals,FT-HT Goals
RB Leipzig,0,5,Stuttgart,1,1,2024-08-25,21:30,1,6,5
Eintracht Frankfurt,1,1,Darmstadt,0,0,2024-08-20,18:30,1,1,0
Union Berlin,2,4,Mainz,0,1,2024-08-20,16:30,2,5,3
Dortmund,0,1,FC Koln,0,0,2024-08-19,19:30,0,1,1
Augsburg,3,4,B. Monchengladbach,3,4,2024-08-19,16:30,6,8,2
Bayer Leverkusen,2,3,RB Leipzig,1,2,2024-08-19,16:30,3,5,2
Hoffenheim,0,1,Freiburg,2,2,2024-08-19,16:30,2,3,1
Stuttgart,2,5,Bochum,0,0,2024-08-19,16:30,2,5,3
Wolfsburg,2,2,Heidenheim,0,0,2024-08-19,16:30,2,2,0
Werder Bremen,0,0,Bayern Munich,1,4,2024-08-18,21:30,1,4,3
